ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
203,More than 3 Hours,"2, 4, 5, 6",0,1,0,1,1,1,under 300 friends,3,1,4,5,3,5,5,5,4,4,4,3,1,1,0,0,0,Female,16,2,3,1,1,3,2,2,1,0.71249998,0.83749998,0.71249998,0.25,1,0,0,0
204,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,"1, 2, 3",3,5,5,3,5,4,5,5,5,5,"1, 3",2,0,0,0,0,Female,38,13,4,4,4,1,13,1,1,0.83749998,0.87916666,0.875,0,1,0,0,0
205,More than 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,"1, 2, 3",3,4,4,2,4,4,4,1,3,2,2,1,1,1,1,1,Female,28,10,4,4,2,1,10,1,1,0.6875,0.76249999,0.51249999,1,1,0,0,0
206,More than 3 Hours,"1, 2, 3, 4",1,1,1,1,0,0,between 300-1000 friends,"1, 3",2,4,5,4,4,5,3,1,5,3,2,1,0,0,0,0,Male,31,9,4,7,2,4,9,3,2,0.77499998,0.85833335,0.61250001,0,0,1,0,0
207,Between 1 Hour and 3 Hours,"1, 4, 5",1,0,0,1,1,0,under 300 friends,3,1,5,1,1,1,1,2,1,4,1,2,1,1,0,0,1,Male,25,13,3,5,1,3,13,3,4,0.21250001,0.47083333,0.41249999,0.5,0,0,0,1
208,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,4,5,4,5,5,4,3,4,3,1,1,1,0,0,0,Female,23,1,4,7,4,1,10,1,1,0.94999999,0.91666669,0.61250001,0.25,1,0,0,0
209,More than 3 Hours,"1, 2, 3, 5",1,1,1,0,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,4,4,4,4,4,5,4,1,1,1,0,0,0,Female,24,1,4,5,4,1,13,1,1,0.89999998,0.89999998,0.71249998,0.25,1,0,0,0
210,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,3,1,5,5,4,4,4,4,1,1,1,2,1,0,0,0,0,Female,40,13,4,2,2,1,13,1,2,0.71249998,0.83749998,0.36250001,0,0,1,0,0
211,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,5,1,5,3,3,1,3,1,1,1,0,0,0,0,Female,28,8,4,5,2,3,3,2,4,0.80000001,0.66666669,0.41249999,0,0,0,0,1
212,Less than 1 Hour,"1, 2",1,1,0,0,0,0,between 300-1000 friends,2,1,5,5,4,4,5,3,3,4,3,2,1,0,0,0,1,Male,50,10,6,5,2,1,10,1,4,0.71249998,0.90416664,0.5625,0.25,0,0,0,1
213,More than 3 Hours,5,0,0,0,0,1,0,between 1000-3000 friends,3,1,4,4,5,5,4,5,1,3,4,2,1,1,0,0,0,Female,23,8,4,4,2,1,10,1,1,0.76249999,0.78750002,0.66250002,0.25,1,0,0,0
214,More than 3 Hours,"1, 3, 4, 5, 6",1,0,1,1,1,1,between 3000-5000 friends,"2, 3",2,4,1,4,4,4,3,4,4,4,1,1,1,0,0,1,Male,16,13,3,1,1,3,13,1,1,0.57499999,0.72500002,0.61250001,0.5,1,0,0,0
215,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"2, 3",2,2,4,4,3,5,4,1,2,1,2,1,0,0,0,0,Female,23,10,5,1,1,2,10,1,1,0.67500001,0.69166666,0.41249999,0,1,0,0,0
216,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,3,2,5,4,5,4,3,3,2,1,0,0,0,0,Male,24,10,0,1,1,1,10,1,1,0.75,0.71666664,0.61250001,0,1,0,0,0
217,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2",2,5,1,1,4,2,1,2,4,1,1,1,0,0,0,0,Female,30,10,4,5,2,2,10,3,1,0.42500001,0.60833335,0.36250001,0,1,0,0,0
218,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"2, 3, 4",3,3,4,2,3,5,3,1,3,1,1,1,0,0,0,0,Male,18,7,0,1,1,4,7,4,3,0.63749999,0.74583334,0.41249999,0,0,0,1,0
219,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,4,5,4,5,4,5,5,1,1,1,0,0,0,Male,23,10,4,1,2,3,10,1,4,0.89999998,0.83333331,0.8125,0.25,0,0,0,1
220,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"1, 2, 3",3,4,4,1,4,5,4,4,4,4,1,1,0,1,0,1,Female,26,12,4,7,4,3,12,1,1,0.63749999,0.8125,0.66250002,0.5,1,0,0,0
222,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 4",3,4,4,1,4,5,1,4,3,3,1,1,0,0,0,0,Female,36,8,4,5,2,3,10,1,1,0.63749999,0.8125,0.41249999,0,1,0,0,0
223,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,2,5,4,4,2,4,4,1,1,0,0,0,0,Female,33,14,4,4,5,1,13,1,1,0.85000002,0.88333333,0.66250002,0,1,0,0,0
224,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,4,1,1,4,5,4,1,4,4,1,1,0,0,0,0,Male,33,9,4,7,5,4,3,4,1,0.36250001,0.72083336,0.66250002,0,1,0,0,0
225,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,"1, 2, 4",3,4,4,4,5,1,4,5,4,4,"1, 3",2,1,1,0,0,Male,36,10,3,7,3,1,10,1,1,0.83749998,0.61250001,0.72500002,0.5,1,0,0,0
226,Less than 1 Hour,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,"1, 2, 3, 4",4,5,3,1,3,3,2,5,5,5,1,1,1,1,0,0,Male,21,1,4,7,2,3,10,1,1,0.60000002,0.73333335,0.66250002,0.5,1,0,0,0
227,Between 1 Hour and 3 Hours,"1, 5, 6",1,0,0,0,1,1,under 300 friends,"1, 2, 3, 4",4,5,1,1,1,5,1,3,3,3,2,1,1,0,0,0,Male,35,13,5,4,5,1,13,1,4,0.40000001,0.80000001,0.41249999,0.25,0,0,0,1
228,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3",3,3,4,1,4,5,1,1,4,1,1,1,1,0,0,0,Female,23,10,4,7,2,1,10,,1,0.63749999,0.74583334,0.36250001,0.25,1,0,0,0
229,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,2,1,1,4,5,1,1,1,4,1,1,0,0,0,1,Male,40,13,4,7,2,1,13,1,4,0.36250001,0.58749998,0.36250001,0.25,0,0,0,1
230,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,3,2,4,5,3,3,4,4,1,1,1,0,0,0,Female,30,10,5,5,2,3,7,2,4,0.69999999,0.76666665,0.61250001,0.25,0,0,0,1
231,Between 1 Hour and 3 Hours,"1, 2",1,1,0,0,0,0,between 1000-3000 friends,4,1,5,4,4,1,2,2,3,4,1,1,1,1,0,0,0,Female,21,8,0,1,1,3,8,1,1,0.51249999,0.63749999,0.41249999,0.25,1,0,0,0
232,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,2,4,4,5,4,3,3,3,1,1,1,0,0,0,Male,28,10,4,4,2,1,10,1,1,0.75,0.78333336,0.5625,0.25,1,0,0,0
233,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"2, 3",2,4,3,1,4,5,5,1,3,3,1,1,1,0,0,0,Male,21,5,0,4,2,3,5,2,1,0.52499998,0.77499998,0.61250001,0.25,1,0,0,0
234,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,under 300 friends,"2, 3, 4",3,2,2,1,4,2,4,2,4,1,2,1,0,0,0,0,Female,23,13,3,1,1,1,13,1,4,0.53750002,0.44583336,0.51249999,0,0,0,0,1
235,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,5,1,4,4,4,3,3,4,2,1,1,0,0,0,Female,22,10,5,1,1,3,10,1,1,0.75,0.71666664,0.61250001,0.25,1,0,0,0
236,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,2,1,3,5,1,5,5,1,1,1,1,2,1,1,0,0,0,Female,27,10,5,5,2,1,10,3,1,0.61250001,0.73750001,0.21250001,0.25,1,0,0,0
237,Less than 1 Hour,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 3",2,5,5,1,5,2,2,1,4,2,2,1,0,0,0,0,Female,44,6,5,5,2,1,13,1,1,0.67500001,0.69166666,0.46250001,0,1,0,0,0
238,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"2, 3",2,5,5,3,4,4,5,4,4,3,2,1,1,1,1,0,Female,22,5,4,1,1,3,1,2,1,0.72500002,0.8416667,0.66250002,0.75,1,0,0,0
239,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 300-1000 friends,2,1,2,2,1,5,1,1,2,4,4,1,1,0,0,0,0,Female,45,10,5,5,2,3,8,1,1,0.46250001,0.35416666,0.51249999,0,1,0,0,0
240,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,2,1,4,5,1,4,5,5,1,3,1,2,1,0,0,0,0,Female,24,10,4,3,2,1,10,1,1,0.5625,0.78750002,0.51249999,0,1,0,0,0
241,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,4,5,4,4,4,4,3,2,1,1,0,0,0,Female,37,13,5,5,2,3,5,2,1,0.89999998,0.89999998,0.61250001,0.25,1,0,0,0
242,Less than 1 Hour,"1, 4",1,0,0,1,0,0,under 300 friends,"1, 2, 3, 4",4,4,4,1,5,1,5,4,4,4,1,1,1,0,0,0,Male,24,5,4,7,3,3,14,1,1,0.75,0.58333331,0.71249998,0.25,1,0,0,0
243,Less than 1 Hour,"2, 4, 5",0,1,0,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,1,Female,25,13,5,4,2,1,13,1,1,0.85000002,0.81666666,0.66250002,0.25,1,0,0,0
244,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"2, 3",2,1,5,1,2,5,4,1,4,1,2,1,0,0,0,0,Female,29,13,4,5,2,1,3,2,4,0.52499998,0.57499999,0.51249999,0,0,0,0,1
245,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"2, 3, 4",3,5,5,4,5,5,5,5,5,5,1,1,0,0,0,1,Female,35,13,4,4,4,1,13,1,1,0.88749999,0.96249998,0.8125,0.25,1,0,0,0
246,More than 3 Hours,4,0,0,0,1,0,0,between 1000-3000 friends,4,1,3,3,3,5,5,4,4,4,4,1,1,1,0,0,0,Male,34,9,4,5,2,3,11,1,1,0.61250001,0.73750001,0.66250002,0.25,1,0,0,0
247,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,between 1000-3000 friends,4,1,5,5,5,2,5,5,5,5,5,3,1,1,0,0,1,Male,25,10,4,5,2,4,10,3,1,0.66250002,0.88749999,0.8125,0.5,1,0,0,0
248,Less than 1 Hour,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"1, 3, 4",3,4,3,3,5,4,4,4,5,4,1,1,1,1,0,1,Male,28,10,4,7,2,4,10,3,1,0.73750001,0.7791667,0.71249998,0.75,1,0,0,0
249,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,1,5,3,4,4,5,4,4,4,1,1,1,0,0,0,Male,28,10,5,5,2,3,9,1,1,0.85000002,0.61666667,0.71249998,0.25,1,0,0,0
250,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 300-1000 friends,"2, 3, 4",3,3,4,3,3,5,2,2,3,2,1,1,0,0,0,0,Female,20,10,3,1,1,3,10,1,1,0.6875,0.76249999,0.41249999,0,1,0,0,0
251,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 3",2,4,4,1,4,4,3,4,4,4,3,1,1,1,1,1,Female,35,10,5,3,5,4,2,4,1,0.57499999,0.72500002,0.61250001,1,1,0,0,0
252,Between 1 Hour and 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,3,1,5,5,5,1,3,1,1,1,1,1,0,0,Male,38,10,4,7,4,3,10,1,4,0.69999999,0.76666665,0.51249999,0.5,0,0,0,1
253,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,4,5,1,5,5,1,1,4,1,1,1,1,0,0,0,Female,24,9,4,4,2,1,10,1,1,0.80000001,0.86666667,0.36250001,0.25,1,0,0,0
254,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"2, 3, 4",3,4,4,4,4,5,4,4,5,5,2,1,0,0,0,0,Male,36,8,4,5,2,3,8,2,4,0.78750002,0.86250001,0.76249999,0,0,0,0,1
255,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"2, 3, 4",3,3,4,2,4,5,4,2,3,3,1,1,0,0,1,0,Male,32,10,5,4,3,1,10,1,1,0.6875,0.76249999,0.5625,0.25,1,0,0,0
256,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 300-1000 friends,"1, 2, 3, 4",4,4,4,3,5,5,5,2,5,4,2,1,1,1,0,0,Female,23,1,4,4,2,3,1,2,1,0.85000002,0.88333333,0.76249999,0.5,1,0,0,0
257,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 4",3,3,3,4,3,5,5,3,1,3,"1, 2",2,0,0,0,1,Male,27,10,4,6,2,1,8,1,4,0.6875,0.76249999,0.57499999,0.25,0,0,0,1
258,More than 3 Hours,"1, 2",1,1,0,0,0,0,under 300 friends,"1, 2, 3, 4",4,4,5,1,3,4,1,1,3,1,2,1,1,0,0,1,Female,30,10,4,4,2,2,10,2,1,0.69999999,0.76666665,0.3125,0.5,1,0,0,0
259,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3",3,4,5,2,3,3,3,3,3,3,1,1,0,0,0,1,Female,50,9,4,5,2,2,10,1,1,0.6875,0.69583333,0.51249999,0.25,1,0,0,0
260,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"2, 3, 4",3,4,5,3,4,4,4,5,4,4,2,1,1,0,0,0,Female,45,7,5,5,2,1,13,4,3,0.78750002,0.79583335,0.66250002,0.25,0,0,1,0
261,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,2,1,5,5,5,4,1,4,4,5,5,1,1,1,1,0,1,Female,43,8,4,5,2,4,8,3,1,0.76249999,0.65416664,0.76249999,0.75,1,0,0,0
262,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,3,5,3,5,3,3,3,5,1,1,1,0,0,0,0,Female,19,2,0,1,1,3,2,2,4,0.89999998,0.69999999,0.51249999,0,0,0,0,1
263,Between 1 Hour and 3 Hours,"2, 5, 6",0,1,0,0,1,1,between 3000-5000 friends,"2, 3, 4",3,2,5,3,2,4,4,3,2,3,1,1,1,0,1,0,Female,56,7,4,4,2,1,10,1,3,0.6875,0.62916666,0.51249999,0.5,0,0,1,0
264,Less than 1 Hour,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"2, 4",2,5,5,1,5,2,4,5,5,4,2,1,1,0,0,1,Female,58,8,6,5,2,1,10,1,1,0.67500001,0.69166666,0.71249998,0.5,1,0,0,0
265,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"2, 3",2,1,4,2,5,3,2,1,5,1,2,1,0,0,0,0,Male,22,9,4,1,1,3,9,1,1,0.67500001,0.49166667,0.46250001,0,1,0,0,0
266,Between 1 Hour and 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,between 3000-5000 friends,"2, 3, 4",3,5,3,3,5,5,5,4,4,4,3,1,1,0,0,0,Male,46,13,4,5,3,3,10,1,1,0.73750001,0.91250002,0.71249998,0.25,1,0,0,0
267,More than 3 Hours,6,0,0,0,0,0,1,under 300 friends,1,1,3,4,1,4,4,5,4,4,2,2,1,0,0,0,1,Female,26,13,4,5,2,2,13,3,2,0.51249999,0.63749999,0.61250001,0.25,0,1,0,0
268,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,"1, 2, 3, 4",4,3,4,2,4,4,4,3,4,3,2,1,1,0,0,0,Male,20,12,0,1,1,1,13,1,1,0.75,0.71666664,0.61250001,0.25,1,0,0,0
269,More than 3 Hours,"1, 4, 5",1,0,0,1,1,0,under 300 friends,"1, 2, 4",3,2,3,1,5,1,1,1,5,1,1,1,1,1,1,0,Male,24,11,4,7,2,3,11,2,1,0.63749999,0.41249999,0.41249999,0.75,1,0,0,0
270,More than 3 Hours,3,0,0,1,0,0,0,between 300-1000 friends,2,1,4,5,5,4,4,4,5,4,4,2,1,0,0,0,1,Male,45,10,6,5,2,1,7,1,1,0.76249999,0.78750002,0.66250002,0.25,1,0,0,0
271,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,1,4,5,5,4,4,4,1,1,1,0,0,0,Female,35,10,5,5,2,1,13,1,1,0.75,0.85000002,0.71249998,0.25,1,0,0,0
272,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,1,4,5,5,4,4,4,1,1,1,0,0,1,Female,27,10,4,4,2,3,10,1,1,0.75,0.85000002,0.71249998,0.5,1,0,0,0
273,More than 3 Hours,"1, 2, 3, 4, 6",1,1,1,1,0,1,between 1000-3000 friends,"2, 3, 4",3,5,5,4,5,5,4,4,4,5,3,1,1,1,0,1,Female,25,9,4,5,2,4,9,3,1,0.88749999,0.96249998,0.71249998,0.75,1,0,0,0
274,Less than 1 Hour,"1, 2",1,1,0,0,0,0,between 300-1000 friends,1,1,3,3,3,3,3,3,3,4,4,2,1,0,0,0,0,Male,38,10,5,7,5,1,10,1,4,0.51249999,0.57083333,0.61250001,0,0,0,0,1
275,Between 1 Hour and 3 Hours,"5, 6",0,0,0,0,1,1,between 3000-5000 friends,"1, 2",2,3,3,4,4,2,2,2,3,3,1,1,0,0,0,0,Female,40,7,5,5,2,3,7,2,3,0.67500001,0.55833334,0.46250001,0,0,0,1,0
276,Between 1 Hour and 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,between 3000-5000 friends,"2, 3, 4",3,5,5,4,5,2,3,1,5,1,2,1,1,0,0,0,Male,19,10,3,1,1,1,10,1,4,0.88749999,0.76249999,0.51249999,0.25,0,0,0,1
277,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"3, 4",2,4,4,5,4,5,5,3,1,1,2,1,0,0,0,0,Female,23,8,5,1,1,3,8,1,1,0.77499998,0.85833335,0.41249999,0,1,0,0,0
278,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,5,4,3,5,4,2,2,3,2,1,1,1,0,0,0,Male,40,6,4,4,4,1,13,1,4,0.85000002,0.88333333,0.41249999,0.25,0,0,0,1
279,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 4",3,4,5,3,4,5,3,1,3,1,1,1,1,0,0,0,Male,30,8,5,6,2,3,10,1,4,0.78750002,0.86250001,0.41249999,0.25,0,0,0,1
280,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 3",3,3,3,3,2,4,4,2,2,2,2,1,0,0,0,0,Female,32,14,4,4,5,1,13,1,1,0.58749998,0.66249996,0.46250001,0,1,0,0,0
281,More than 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,4,4,5,4,4,3,5,5,3,1,1,1,0,1,Male,30,10,5,5,2,1,10,1,1,0.89999998,0.89999998,0.76249999,0.75,1,0,0,0
282,More than 3 Hours,"1, 2, 3, 5, 6",1,1,1,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,5,4,2,2,3,4,2,"1, 2",2,1,0,0,0,Male,24,10,4,7,1,1,10,1,1,0.94999999,0.7833333,0.52499998,0.25,1,0,0,0
283,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,3,4,1,3,2,3,5,4,1,1,1,0,0,0,0,Female,16,5,3,1,1,2,10,1,2,0.64999998,0.55000001,0.46250001,0,0,1,0,0
284,More than 3 Hours,2,0,1,0,0,0,0,between 300-1000 friends,3,1,4,5,4,4,4,4,4,4,4,2,1,0,0,0,1,Male,45,10,6,5,2,1,7,1,1,0.71249998,0.77083331,0.66250002,0.25,1,0,0,0
285,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 4",3,4,4,1,5,1,1,4,5,3,2,1,1,0,0,0,Female,42,2,4,5,2,3,2,2,4,0.6875,0.5625,0.51249999,0.25,0,0,0,1
286,More than 3 Hours,"1, 5",1,0,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,4,1,5,4,1,1,1,1,2,1,1,0,0,0,Female,25,9,5,7,2,1,9,1,4,0.75,0.85000002,0.21250001,0.25,0,0,0,1
287,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,2,1,3,4,2,4,5,4,3,4,2,1,1,0,0,0,1,Female,24,10,4,5,2,3,10,1,1,0.5625,0.72083336,0.5625,0.25,1,0,0,0
288,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,2,4,4,2,4,4,4,1,1,1,0,0,1,Male,27,10,4,7,2,1,10,1,1,0.75,0.85000002,0.5625,0.5,1,0,0,0
289,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,5,4,4,4,5,5,5,"3, 4, 2",3,1,1,1,1,Male,30,5,4,7,2,3,5,2,3,0.94999999,0.91666669,0.88749999,1,0,0,1,0
290,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 1000-3000 friends,"2, 3",2,3,3,2,5,4,4,3,4,4,1,1,1,0,0,0,Female,23,13,4,1,1,3,13,1,1,0.625,0.67500001,0.66250002,0.25,1,0,0,0
291,Less than 1 Hour,1,1,0,0,0,0,0,under 300 friends,2,1,3,2,1,5,1,5,3,4,1,2,1,0,0,0,0,Male,37,7,5,7,2,1,7,1,4,0.46250001,0.42083335,0.5625,0,0,0,0,1
292,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 3, 4",3,5,4,2,5,2,1,3,4,4,1,1,1,0,0,0,Female,60,10,4,7,5,1,10,1,1,0.73750001,0.71249998,0.51249999,0.25,1,0,0,0
293,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,4,1,3,3,3,3,1,1,1,1,1,0,0,0,Female,37,2,5,5,2,1,13,1,1,0.64999998,0.61666667,0.3125,0.25,1,0,0,0
294,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 3000-5000 friends,"1, 2, 3",3,4,4,1,4,4,4,3,3,4,1,1,1,0,0,0,Female,30,9,6,5,4,5,9,,1,0.63749999,0.74583334,0.61250001,0.25,1,0,0,0
295,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 300-1000 friends,"2, 3",2,2,2,1,1,5,3,1,1,1,1,1,0,0,0,0,Male,24,10,4,1,1,1,10,1,4,0.32499999,0.57499999,0.3125,0,0,0,0,1
296,Between 1 Hour and 3 Hours,2,0,1,0,0,0,0,between 300-1000 friends,2,1,4,5,4,5,4,4,3,4,4,1,1,1,0,0,0,Female,27,8,5,7,2,4,8,3,1,0.76249999,0.78750002,0.66250002,0.25,1,0,0,0
297,More than 3 Hours,1,1,0,0,0,0,0,under 300 friends,"2, 3",2,5,3,3,5,4,2,5,5,4,3,1,0,0,0,0,Male,34,14,4,1,1,1,13,1,4,0.67500001,0.82499999,0.61250001,0,0,0,0,1
298,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"2, 3",2,4,4,1,3,4,2,1,1,1,2,1,1,0,0,0,Female,24,9,5,4,2,3,9,1,1,0.52499998,0.70833331,0.26249999,0.25,1,0,0,0
299,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"2, 3, 4",3,5,5,2,5,2,3,4,4,4,1,1,1,0,0,0,Female,52,1,6,5,2,1,10,1,1,0.78750002,0.72916669,0.61250001,0.25,1,0,0,0
300,More than 3 Hours,"4, 6",0,0,0,1,0,1,between 1000-3000 friends,"3, 4",2,4,4,4,5,5,5,4,4,4,1,1,0,0,0,1,Female,23,3,5,1,2,3,3,2,1,0.77499998,0.85833335,0.71249998,0.25,1,0,0,0
301,Between 1 Hour and 3 Hours,"2, 6",0,1,0,0,0,1,under 300 friends,"2, 3, 4",3,4,5,1,4,4,1,4,4,1,2,1,0,0,0,0,Female,42,10,4,5,2,4,10,3,1,0.6875,0.76249999,0.36250001,0,1,0,0,0
302,More than 3 Hours,"4, 5, 6",0,0,0,1,1,1,between 300-1000 friends,"1, 2",2,3,4,2,2,5,5,4,1,1,2,1,0,0,0,0,Female,30,13,5,4,3,1,13,1,1,0.52499998,0.70833331,0.41249999,0,1,0,0,0
303,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,3,1,4,5,4,4,5,4,3,4,3,1,1,1,0,0,0,Male,20,1,0,1,1,3,1,2,1,0.71249998,0.83749998,0.61250001,0.25,1,0,0,0
304,More than 3 Hours,"1, 2",1,1,0,0,0,0,under 300 friends,"2, 4",2,5,5,3,4,1,1,4,3,3,2,1,1,0,0,0,Female,30,1,5,4,4,1,13,1,4,0.72500002,0.64166665,0.41249999,0.25,0,0,0,1
305,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,under 300 friends,"2, 3",2,5,5,1,5,5,5,5,5,4,1,1,0,0,0,1,Male,20,8,4,1,1,4,8,3,4,0.67500001,0.89166665,0.76249999,0.25,0,0,0,1
